"parameter","estimate","SE","RSE","CI","CI_lower","CI_upper","fixed_estimated","boundary_flag","ETA_shrinkage","EPS_shrinkage"
"[CL]",0.178087,0.00477484,2.68118391572658,"[0.1687, 0.1874]",0.1687283136,0.1874456864,"estimated",,,
"[V]",18.9758,0.971662,5.12053246766935,"[17.07, 20.88]",17.07134248,20.88025752,"estimated",,,
"[KA]",0.36,,,,,,"fixed",,,
"[CL] omega(1,1)",0.0829196,0.0110578,13.335568430142,"[0.06125, 0.1046]",0.061246312,0.104592888,"estimated",,13.5275397840051,
"[V] omega(2,2)",0.187535,0.0459002,24.4755378995921,"[0.09757, 0.2775]",0.097570608,0.277499392,"estimated",,43.6505772499624,
"[A] sigma(2,2)",0.0417368,0.00567176,13.5893504053976,"[0.03062, 0.05285]",0.0306201504,0.0528534496,"estimated",,,
"[A] sigma(2,2)_",561.802,427.652,76.1214805216073,"[-276.4, 1400.]",-276.39592,1399.99992,"estimated",,,
